ClaimID,PolicyID,ClaimDate,ClaimAmount,ClaimStatus,TypeOfLoss
C0000001,POL0057639,2021-12-13,13571,Pending,Theft
C0000002,POL0030391,2020-06-07,1196,Pending,Liability
C0000003,POL0013653,2022-07-08,23818,Closed,Accident
C0000004,POL0023319,2022-04-12,8013,Pending,Natural Disaster
C0000005,POL0037327,2020-06-15,6663,Closed,Theft
C0000006,POL0036229,2023-11-02,1782,Closed,Liability
C0000007,POL0047143,2022-03-23,30540,Closed,Theft
C0000008,POL0017783,2023-08-11,6140,Closed,Accident
C0000009,POL0024009,2019-09-25,20887,Pending,Fire
C0000010,POL0007841,2024-02-17,25463,Open,Accident
C0000011,POL0049644,2023-03-24,6398,Open,Accident
C0000012,POL0061966,2021-06-14,2194,Pending,Theft
C0000013,POL0039381,2022-02-22,34416,Open,Accident
C0000014,POL0054514,2022-05-03,17414,Open,Natural Disaster
C0000015,POL0061471,2020-12-15,35342,Closed,Accident
C0000016,POL0026618,2022-08-22,4845,Closed,Natural Disaster
C0000017,POL0031553,2023-02-28,44609,Closed,Natural Disaster
C0000018,POL0063027,2022-05-01,8362,Pending,Liability
C0000019,POL0029599,2024-07-22,3330,Pending,Fire
C0000020,POL0048958,2021-08-03,49617,Pending,Theft
C0000021,POL0006535,2024-04-01,30965,Closed,Liability
C0000022,POL0032207,2023-07-09,19863,Open,Fire
C0000023,POL0001216,2023-08-15,44588,Pending,Liability
C0000024,POL0015605,2024-08-05,30388,Open,Accident
C0000025,POL0039457,2021-09-11,35387,Open,Theft
C0000026,POL0016673,2024-06-20,8494,Pending,Theft
C0000027,POL0044762,2023-09-02,6896,Closed,Fire
C0000028,POL0058889,2023-07-12,11931,Pending,Fire
C0000029,POL0043111,2019-11-13,44643,Open,Theft
C0000030,POL0004578,2021-08-09,48582,Pending,Accident
C0000031,POL0030154,2023-10-20,4215,Pending,Accident
C0000032,POL0015403,2024-04-09,18745,Pending,Natural Disaster
C0000033,POL0056369,2023-01-14,31415,Open,Accident
C0000034,POL0004231,2022-06-24,9545,Pending,Theft
C0000035,POL0021306,2022-04-19,30328,Closed,Theft
C0000036,POL0048262,2023-04-09,7893,Pending,Accident
C0000037,POL0026044,2019-11-16,30240,Closed,Liability
C0000038,POL0004215,2020-01-14,45248,Open,Natural Disaster
C0000039,POL0055828,2023-11-19,25635,Closed,Accident
C0000040,POL0007624,2021-02-08,5905,Pending,Theft
