PolicyID,AccountID,ProductID,InsurerID,StartDate,EndDate,Status
POL0000001,A00442,P00006,I00004,6/7/2023,5/28/2026,Expired
POL0000002,A04931,P00001,I00002,2/18/2020,8/2/2029,Expired
POL0000003,A02193,P00001,I00001,3/2/2023,1/4/2025,Active
POL0000004,A02182,P00001,I00003,5/14/2020,1/29/2029,Expired
POL0000005,A00308,P00003,I00005,1/1/2020,11/3/2025,Cancelled
POL0000006,A04792,P00007,I00006,2/21/2022,7/14/2028,Cancelled
POL0000007,A00165,P00004,I00001,2/11/2020,5/12/2029,Expired
POL0000008,A05622,P00004,I00005,10/2/2021,4/28/2029,Active
POL0000009,A06078,P00004,I00001,9/12/2021,1/6/2028,Cancelled
POL0000010,A03238,P00002,I00005,12/8/2021,5/16/2026,Cancelled
POL0000011,A03239,P00002,I00001,2/23/2021,4/3/2029,Cancelled
POL0000012,A05712,P00007,I00002,9/12/2022,9/8/2024,Expired
POL0000013,A05470,P00003,I00004,7/28/2020,10/21/2025,Expired
POL0000014,A00600,P00005,I00006,11/4/2023,9/8/2027,Expired
POL0000015,A02054,P00004,I00003,5/24/2022,3/31/2028,Active
POL0000016,A01320,P00005,I00005,11/7/2020,4/27/2027,Active
POL0000017,A03437,P00004,I00006,1/20/2020,12/29/2027,Active
POL0000018,A01851,P00004,I00003,6/18/2022,7/10/2029,Cancelled
POL0000019,A01377,P00004,I00001,5/24/2020,4/1/2028,Cancelled
POL0000020,A05409,P00004,I00006,3/11/2024,1/23/2029,Cancelled
POL0000021,A04586,P00007,I00006,3/17/2023,2/25/2026,Cancelled
POL0000022,A06399,P00007,I00002,9/17/2019,11/14/2028,Expired
POL0000023,A00912,P00003,I00005,6/30/2023,9/26/2024,Expired
POL0000024,A03203,P00005,I00004,7/28/2024,4/18/2027,Active
POL0000025,A01530,P00004,I00003,3/10/2023,10/19/2028,Cancelled
POL0000026,A05589,P00001,I00004,3/17/2023,5/31/2026,Cancelled
POL0000027,A01694,P00006,I00005,3/21/2022,9/8/2026,Expired
POL0000028,A04322,P00001,I00001,7/18/2021,3/10/2025,Expired
POL0000029,A03616,P00003,I00005,12/6/2022,5/16/2029,Expired
