PremiumID,PolicyID,PremiumAmount,CommissionAmount
POL0000001,POL0000001,658,131.6
POL0000002,POL0000002,27171,1630.26
POL0000003,POL0000003,17774,2132.88
POL0000004,POL0000004,10374,1659.84
POL0000005,POL0000005,2580,335.4
POL0000006,POL0000006,186,20.46
POL0000007,POL0000007,122376,8566.32
POL0000008,POL0000008,888,168.72
POL0000009,POL0000009,12618,883.26
POL0000010,POL0000010,310,43.4
POL0000011,POL0000011,2822,395.08
POL0000012,POL0000012,3205,416.65
POL0000013,POL0000013,2653,451.01
POL0000014,POL0000014,23307,3962.19
POL0000015,POL0000015,10679,961.11
POL0000016,POL0000016,32732,4255.16
POL0000017,POL0000017,1488,193.44
POL0000018,POL0000018,5141,359.87
POL0000019,POL0000019,3609,252.63
POL0000020,POL0000020,8488,509.28
POL0000021,POL0000021,16734,836.7
POL0000022,POL0000022,197,9.85
POL0000023,POL0000023,1158,196.86
POL0000024,POL0000024,1655,264.8
POL0000025,POL0000025,6505,1040.8
POL0000026,POL0000026,18403,2208.36
POL0000027,POL0000027,3973,556.22
POL0000028,POL0000028,10757,1828.69
POL0000029,POL0000029,2526,277.86
POL0000030,POL0000030,11268,1014.12
POL0000031,POL0000031,95981,12477.53
POL0000032,POL0000032,14924,895.44
POL0000033,POL0000033,19517,3122.72
POL0000034,POL0000034,771,69.39
POL0000035,POL0000035,9916,991.6
POL0000036,POL0000036,6299,1007.84
POL0000037,POL0000037,2662,266.2
POL0000038,POL0000038,4104,410.4
POL0000039,POL0000039,2276,432.44
POL0000040,POL0000040,2224,444.8
POL0000041,POL0000041,1966,216.26
POL0000042,POL0000042,3778,528.92
POL0000043,POL0000043,8529,767.61
POL0000044,POL0000044,3687,331.83
POL0000045,POL0000045,1639,311.41
POL0000046,POL0000046,2543,457.74
POL0000047,POL0000047,6274,1129.32
POL0000048,POL0000048,48664,7299.6
POL0000049,POL0000049,2683,482.94
POL0000050,POL0000050,1840,331.2
POL0000051,POL0000051,16688,3003.84
POL0000052,POL0000052,4566,821.88
POL0000053,POL0000053,44344,2217.2
POL0000054,POL0000054,15768,1892.16
POL0000055,POL0000055,1885,377
POL0000056,POL0000056,73776,9590.88
POL0000057,POL0000057,5486,603.46
POL0000058,POL0000058,2700,405
POL0000059,POL0000059,16100,1610
POL0000060,POL0000060,15876,952.56
POL0000061,POL0000061,22011,2861.43
POL0000062,POL0000062,41401,4968.12
POL0000063,POL0000063,1653,314.07
POL0000064,POL0000064,1553,279.54
POL0000065,POL0000065,741,118.56
POL0000066,POL0000066,16904,3042.72
POL0000067,POL0000067,145174,11613.92
POL0000068,POL0000068,1949,350.82
POL0000069,POL0000069,4171,208.55
POL0000070,POL0000070,23667,1420.02
POL0000071,POL0000071,2342,210.78
POL0000072,POL0000072,1230,110.7
POL0000073,POL0000073,46104,6454.56
POL0000074,POL0000074,3518,527.7
POL0000075,POL0000075,2094,314.1
POL0000076,POL0000076,575,46
POL0000077,POL0000077,19401,1940.1
POL0000078,POL0000078,1483,192.79
POL0000079,POL0000079,120,14.4
POL0000080,POL0000080,2249,179.92
POL0000081,POL0000081,664,99.6
POL0000082,POL0000082,183240,20156.4
POL0000083,POL0000083,7650,1071
POL0000084,POL0000084,5889,706.68
POL0000085,POL0000085,554,33.24
POL0000086,POL0000086,2822,564.4
POL0000087,POL0000087,1897,170.73
POL0000088,POL0000088,2474,272.14
POL0000089,POL0000089,8582,858.2
POL0000090,POL0000090,3616,614.72
POL0000091,POL0000091,132437,14568.07
POL0000092,POL0000092,1523,121.84
POL0000093,POL0000093,15384,2615.28
POL0000094,POL0000094,29120,1747.2
POL0000095,POL0000095,29625,1481.25
POL0000096,POL0000096,2869,430.35
POL0000097,POL0000097,8635,949.85
POL0000098,POL0000098,2988,179.28
POL0000099,POL0000099,59602,8940.3
POL0000100,POL0000100,1935,251.55
POL0000101,POL0000101,177988,32037.84
POL0000102,POL0000102,883,114.79
POL0000103,POL0000103,101076,16172.16
POL0000104,POL0000104,1877,319.09
POL0000105,POL0000105,4569,776.73
POL0000106,POL0000106,15114,1511.4
POL0000107,POL0000107,4836,870.48
POL0000108,POL0000108,350,63
POL0000109,POL0000109,1285,218.45
POL0000110,POL0000110,2043,143.01
POL0000111,POL0000111,14242,2278.72
POL0000112,POL0000112,2337,373.92
POL0000113,POL0000113,32320,2908.8
POL0000114,POL0000114,14741,1474.1
POL0000115,POL0000115,370,59.2
POL0000116,POL0000116,5188,778.2
POL0000117,POL0000117,140056,12605.04
POL0000118,POL0000118,1422,213.3
POL0000119,POL0000119,91368,9136.8
POL0000120,POL0000120,1684,202.08
POL0000121,POL0000121,8393,1510.74
POL0000122,POL0000122,45836,2750.16
POL0000123,POL0000123,1823,309.91
POL0000124,POL0000124,2774,416.1
POL0000125,POL0000125,5659,679.08
POL0000126,POL0000126,58797,8231.58
POL0000127,POL0000127,13173,1975.95
POL0000128,POL0000128,2382,214.38
POL0000129,POL0000129,8021,1203.15
POL0000130,POL0000130,11547,1039.23
POL0000131,POL0000131,7977,1116.78
POL0000132,POL0000132,4469,491.59
POL0000133,POL0000133,9250,832.5
POL0000134,POL0000134,53743,10211.17
POL0000135,POL0000135,8489,764.01
POL0000136,POL0000136,50040,6505.2
POL0000137,POL0000137,6884,1307.96
POL0000138,POL0000138,6549,458.43
POL0000139,POL0000139,3679,404.69
POL0000140,POL0000140,4453,222.65
POL0000141,POL0000141,895,53.7
POL0000142,POL0000142,10774,1292.88
POL0000143,POL0000143,3138,407.94
POL0000144,POL0000144,39318,7470.42
POL0000145,POL0000145,13577,1493.47
POL0000146,POL0000146,641,121.79
POL0000147,POL0000147,2085,125.1
POL0000148,POL0000148,21626,1081.3
POL0000149,POL0000149,22518,1576.26
POL0000150,POL0000150,6211,931.65
POL0000151,POL0000151,9294,464.7
POL0000152,POL0000152,672,127.68
POL0000153,POL0000153,1878,338.04
POL0000154,POL0000154,1823,255.22
POL0000155,POL0000155,985,187.15
POL0000156,POL0000156,2229,156.03
POL0000157,POL0000157,125888,25177.6
POL0000158,POL0000158,34525,5869.25
POL0000159,POL0000159,996,109.56
POL0000160,POL0000160,6262,626.2
POL0000161,POL0000161,2328,209.52
POL0000162,POL0000162,63588,10174.08
POL0000163,POL0000163,24426,1465.56
POL0000164,POL0000164,7492,824.12
POL0000165,POL0000165,13203,1716.39
POL0000166,POL0000166,65100,3255
POL0000167,POL0000167,29208,1460.4
POL0000168,POL0000168,3656,731.2
POL0000169,POL0000169,20177,1210.62
POL0000170,POL0000170,2213,110.65
POL0000171,POL0000171,9080,1452.8
POL0000172,POL0000172,551,88.16
POL0000173,POL0000173,1179,224.01
POL0000174,POL0000174,11153,1226.83
POL0000175,POL0000175,2218,177.44
POL0000176,POL0000176,3908,664.36
POL0000177,POL0000177,10651,1384.63
POL0000178,POL0000178,7860,786
POL0000179,POL0000179,1506,240.96
POL0000180,POL0000180,45686,5025.46
POL0000181,POL0000181,2489,373.35
POL0000182,POL0000182,3222,483.3
POL0000183,POL0000183,2288,183.04
POL0000184,POL0000184,3304,429.52
POL0000185,POL0000185,4939,345.73
POL0000186,POL0000186,142825,19995.5
POL0000187,POL0000187,346,51.9
POL0000188,POL0000188,2772,194.04
POL0000189,POL0000189,4238,381.42
POL0000190,POL0000190,2022,101.1
POL0000191,POL0000191,1510,241.6
POL0000192,POL0000192,656,72.16
POL0000193,POL0000193,3292,362.12
POL0000194,POL0000194,3199,447.86
POL0000195,POL0000195,937,149.92
POL0000196,POL0000196,12965,1426.15
POL0000197,POL0000197,253120,37968
POL0000198,POL0000198,40579,7304.22
POL0000199,POL0000199,6441,322.05
POL0000200,POL0000200,1709,85.45
POL0000201,POL0000201,7728,927.36
POL0000202,POL0000202,35871,6098.07
POL0000203,POL0000203,1401,112.08
POL0000204,POL0000204,4073,203.65
POL0000205,POL0000205,5312,956.16
POL0000206,POL0000206,41395,5381.35
POL0000207,POL0000207,1269,203.04
POL0000208,POL0000208,1022,173.74
POL0000209,POL0000209,3778,453.36
POL0000210,POL0000210,4208,504.96
POL0000211,POL0000211,993,148.95
POL0000212,POL0000212,29331,4106.34
POL0000213,POL0000213,14003,2660.57
POL0000214,POL0000214,1487,89.22
POL0000215,POL0000215,6449,1031.84
POL0000216,POL0000216,3209,513.44
POL0000217,POL0000217,11205,672.3
POL0000218,POL0000218,992,178.56
POL0000219,POL0000219,9314,1397.1
POL0000220,POL0000220,3165,253.2
POL0000221,POL0000221,13205,2376.9
POL0000222,POL0000222,75928,3796.4
POL0000223,POL0000223,944,160.48
POL0000224,POL0000224,24629,3694.35
POL0000225,POL0000225,1734,86.7
POL0000226,POL0000226,350504,38555.44
POL0000227,POL0000227,51872,7780.8
POL0000228,POL0000228,6348,380.88
POL0000229,POL0000229,3425,342.5
POL0000230,POL0000230,13017,2212.89
POL0000231,POL0000231,4380,262.8
POL0000232,POL0000232,2512,477.28
POL0000233,POL0000233,361760,36176
POL0000234,POL0000234,2112,105.6
POL0000235,POL0000235,12240,1101.6
POL0000236,POL0000236,1614,242.1
POL0000237,POL0000237,48024,5762.88
POL0000238,POL0000238,4412,308.84
POL0000239,POL0000239,4967,347.69
POL0000240,POL0000240,4953,396.24
POL0000241,POL0000241,3114,186.84
POL0000242,POL0000242,1908,228.96
POL0000243,POL0000243,1128,67.68
POL0000244,POL0000244,3676,514.64
POL0000245,POL0000245,1605,160.5
POL0000246,POL0000246,1392,167.04
POL0000247,POL0000247,866,112.58
POL0000248,POL0000248,9712,971.2
POL0000249,POL0000249,2914,582.8
POL0000250,POL0000250,203,32.48
POL0000251,POL0000251,8258,1569.02
POL0000252,POL0000252,8284,1325.44
POL0000253,POL0000253,3827,650.59
POL0000254,POL0000254,490,73.5
POL0000255,POL0000255,9203,1012.33
POL0000256,POL0000256,6378,1084.26
POL0000257,POL0000257,3883,349.47
POL0000258,POL0000258,6780,745.8
POL0000259,POL0000259,41080,5340.4
POL0000260,POL0000260,978,107.58
POL0000261,POL0000261,26845,4026.75
POL0000262,POL0000262,4996,799.36
POL0000263,POL0000263,12732,1273.2
POL0000264,POL0000264,1706,187.66
POL0000265,POL0000265,3090,216.3
POL0000266,POL0000266,3283,558.11
POL0000267,POL0000267,54401,2720.05
POL0000268,POL0000268,2223,177.84
POL0000269,POL0000269,154415,27794.7
POL0000270,POL0000270,478,95.6
POL0000271,POL0000271,4010,481.2
POL0000272,POL0000272,3011,541.98
POL0000273,POL0000273,6516,521.28
POL0000274,POL0000274,512,97.28
POL0000275,POL0000275,379,22.74
POL0000276,POL0000276,2367,449.73
POL0000277,POL0000277,6526,1109.42
POL0000278,POL0000278,224,42.56
POL0000279,POL0000279,4336,650.4
POL0000280,POL0000280,310,37.2
POL0000281,POL0000281,1376,137.6
POL0000282,POL0000282,24017,4082.89
POL0000283,POL0000283,10980,1866.6
POL0000284,POL0000284,11189,783.23
POL0000285,POL0000285,1997,379.43
POL0000286,POL0000286,4347,869.4
POL0000287,POL0000287,737,81.07
POL0000288,POL0000288,4197,797.43
POL0000289,POL0000289,395416,75129.04
POL0000290,POL0000290,8824,705.92
POL0000291,POL0000291,1565,219.1
POL0000292,POL0000292,2399,143.94
POL0000293,POL0000293,2335,186.8
POL0000294,POL0000294,788,126.08
POL0000295,POL0000295,2289,366.24
POL0000296,POL0000296,14306,1859.78
POL0000297,POL0000297,800,64
POL0000298,POL0000298,6029,844.06
POL0000299,POL0000299,1983,277.62
POL0000300,POL0000300,1670,217.1
POL0000301,POL0000301,32851,2628.08
POL0000302,POL0000302,2208,198.72
POL0000303,POL0000303,6763,473.41
POL0000304,POL0000304,1390,97.3
POL0000305,POL0000305,2924,146.2
POL0000306,POL0000306,1149,57.45
POL0000307,POL0000307,3128,218.96
POL0000308,POL0000308,72104,10094.56
POL0000309,POL0000309,1088,87.04
POL0000310,POL0000310,886,44.3
POL0000311,POL0000311,1869,280.35
POL0000312,POL0000312,25165,3271.45
POL0000313,POL0000313,1169,128.59
POL0000314,POL0000314,13080,915.6
POL0000315,POL0000315,1183,70.98
POL0000316,POL0000316,4133,454.63
POL0000317,POL0000317,8115,405.75
POL0000318,POL0000318,20221,2022.1
POL0000319,POL0000319,29806,2086.42
POL0000320,POL0000320,1010,60.6
POL0000321,POL0000321,10454,731.78
POL0000322,POL0000322,15493,2633.81
POL0000323,POL0000323,8972,1704.68
POL0000324,POL0000324,16220,1946.4
POL0000325,POL0000325,1253,175.42
POL0000326,POL0000326,17199,1547.91
POL0000327,POL0000327,27971,5034.78
POL0000328,POL0000328,460,82.8
POL0000329,POL0000329,3757,563.55
POL0000330,POL0000330,1170,105.3
POL0000331,POL0000331,3258,358.38
POL0000332,POL0000332,3650,182.5
POL0000333,POL0000333,7875,787.5
POL0000334,POL0000334,426160,42616
POL0000335,POL0000335,12858,1928.7
POL0000336,POL0000336,1714,291.38
POL0000337,POL0000337,8337,666.96
POL0000338,POL0000338,3837,306.96
POL0000339,POL0000339,3311,198.66
POL0000340,POL0000340,194020,17461.8
POL0000341,POL0000341,2199,395.82
POL0000342,POL0000342,232,25.52
POL0000343,POL0000343,1334,146.74
POL0000344,POL0000344,14690,2350.4
POL0000345,POL0000345,3368,606.24
POL0000346,POL0000346,11133,1113.3
POL0000347,POL0000347,47390,7108.5
POL0000348,POL0000348,2589,258.9
POL0000349,POL0000349,734,88.08
POL0000350,POL0000350,1850,296
POL0000351,POL0000351,1617,194.04
POL0000352,POL0000352,18486,3142.62
POL0000353,POL0000353,52808,3168.48
POL0000354,POL0000354,1606,112.42
POL0000355,POL0000355,2696,323.52
POL0000356,POL0000356,78341,6267.28
POL0000357,POL0000357,13702,1507.22
POL0000358,POL0000358,735,147
POL0000359,POL0000359,1349,242.82
POL0000360,POL0000360,1424,113.92
POL0000361,POL0000361,24220,3390.8
POL0000362,POL0000362,3449,586.33
POL0000363,POL0000363,1161,127.71
POL0000364,POL0000364,3138,407.94
POL0000365,POL0000365,62654,8771.56
POL0000366,POL0000366,13573,1764.49
POL0000367,POL0000367,2431,145.86
POL0000368,POL0000368,6962,835.44
POL0000369,POL0000369,43358,6503.7
POL0000370,POL0000370,16774,1341.92
POL0000371,POL0000371,908,181.6
POL0000372,POL0000372,5271,632.52
POL0000373,POL0000373,223,31.22
POL0000374,POL0000374,67880,13576
POL0000375,POL0000375,2738,273.8
POL0000376,POL0000376,98,17.64
POL0000377,POL0000377,2986,418.04
POL0000378,POL0000378,1652,165.2
POL0000379,POL0000379,1946,175.14
POL0000380,POL0000380,6457,387.42
POL0000381,POL0000381,4418,883.6
POL0000382,POL0000382,19829,2379.48
POL0000383,POL0000383,4699,234.95
POL0000384,POL0000384,16355,817.75
POL0000385,POL0000385,1896,151.68
POL0000386,POL0000386,1623,259.68
POL0000387,POL0000387,5774,404.18
POL0000388,POL0000388,2665,186.55
POL0000389,POL0000389,37681,3014.48
POL0000390,POL0000390,7159,1288.62
POL0000391,POL0000391,22880,4347.2
POL0000392,POL0000392,2529,126.45
POL0000393,POL0000393,477,62.01
POL0000394,POL0000394,35280,2822.4
POL0000395,POL0000395,16102,3220.4
POL0000396,POL0000396,2204,132.24
POL0000397,POL0000397,2711,298.21
POL0000398,POL0000398,8705,1305.75
POL0000399,POL0000399,3008,240.64
POL0000400,POL0000400,4627,786.59
POL0000401,POL0000401,2208,397.44
POL0000402,POL0000402,6536,588.24
POL0000403,POL0000403,804,152.76
POL0000404,POL0000404,410,57.4
POL0000405,POL0000405,48378,6772.92
POL0000406,POL0000406,4777,525.47
POL0000407,POL0000407,2869,172.14
POL0000408,POL0000408,14669,1466.9
POL0000409,POL0000409,1465,293
POL0000410,POL0000410,9587,1342.18
POL0000411,POL0000411,16306,1141.42
POL0000412,POL0000412,472,28.32
POL0000413,POL0000413,5521,276.05
POL0000414,POL0000414,3543,425.16
POL0000415,POL0000415,9584,766.72
POL0000416,POL0000416,357,28.56
POL0000417,POL0000417,1853,111.18
POL0000418,POL0000418,2437,121.85
POL0000419,POL0000419,529256,58218.16
POL0000420,POL0000420,820,82
POL0000421,POL0000421,132133,21141.28
POL0000422,POL0000422,8411,1682.2
POL0000423,POL0000423,2036,101.8
POL0000424,POL0000424,7203,360.15
POL0000425,POL0000425,2027,405.4
POL0000426,POL0000426,10798,2051.62
POL0000427,POL0000427,2408,361.2
POL0000428,POL0000428,2083,416.6
POL0000429,POL0000429,2467,123.35
POL0000430,POL0000430,4329,432.9
POL0000431,POL0000431,4979,398.32
POL0000432,POL0000432,1727,120.89
POL0000433,POL0000433,35530,1776.5
POL0000434,POL0000434,18407,1288.49
POL0000435,POL0000435,580,69.6
POL0000436,POL0000436,6830,1092.8
POL0000437,POL0000437,2357,424.26
POL0000438,POL0000438,4731,520.41
POL0000439,POL0000439,7366,1252.22
POL0000440,POL0000440,1589,127.12
POL0000441,POL0000441,310,46.5
POL0000442,POL0000442,338,30.42
POL0000443,POL0000443,4680,655.2
POL0000444,POL0000444,6290,754.8
POL0000445,POL0000445,20793,2287.23
POL0000446,POL0000446,3918,235.08
POL0000447,POL0000447,1013,121.56
POL0000448,POL0000448,3058,152.9
POL0000449,POL0000449,30470,4265.8
POL0000450,POL0000450,1859,334.62
POL0000451,POL0000451,410088,57412.32
POL0000452,POL0000452,9786,587.16
POL0000453,POL0000453,3115,467.25
POL0000454,POL0000454,690,131.1
POL0000455,POL0000455,19616,3138.56
POL0000456,POL0000456,80066,11209.24
POL0000457,POL0000457,1379,248.22
POL0000458,POL0000458,18514,1110.84
POL0000459,POL0000459,10760,1721.6
POL0000460,POL0000460,1722,172.2
POL0000461,POL0000461,734,58.72
POL0000462,POL0000462,1233,234.27
POL0000463,POL0000463,11682,2102.76
POL0000464,POL0000464,384,46.08
POL0000465,POL0000465,54112,10281.28
POL0000466,POL0000466,2741,465.97
POL0000467,POL0000467,4612,784.04
